Ngày,Tổng số ca mắc,Tổng số ca tử vong,Tổng số ca phục hồi,Số ca mắc mới hàng ngày
2/14/2021,2228,35,1532,33
2/15/2021,2269,35,1541,41
2/16/2021,2311,35,1573,42
2/17/2021,2329,35,1574,18
2/18/2021,2347,35,1605,18
2/19/2021,2362,35,1627,15
2/20/2021,2368,35,1627,6
2/21/2021,2383,35,1702,15
2/22/2021,2392,35,1717,9
2/23/2021,2403,35,1760,9
2/24/2021,2412,35,1804,11
2/25/2021,2421,35,1804,8
2/26/2021,2426,35,1839,6
2/27/2021,2432,35,1844,6
2/28/2021,2448,35,1876,16
3/1/2021,2448,35,1876,0
3/2/2021,2475,35,1898,24
3/3/2021,2482,35,1898,10
3/4/2021,2488,35,1920,6
3/5/2021,2494,35,1920,6
3/6/2021,2501,35,1920,7
3/7/2021,2512,35,1920,11
3/8/2021,2524,35,1920,12
3/9/2021,2526,35,2004,2
3/10/2021,2529,35,2004,3
3/11/2021,2533,35,2048,4
3/12/2021,2550,35,2086,17
3/13/2021,2553,35,2086,3
3/14/2021,2554,35,2086,1
3/15/2021,2557,35,2115,3
3/16/2021,2560,35,2158,3
3/17/2021,2567,35,2198,7
3/18/2021,2570,35,2198,3
3/19/2021,2571,35,2198,1
3/20/2021,2572,35,2198,1
3/21/2021,2572,35,2198,0
3/22/2021,2575,35,2233,3
3/23/2021,2575,35,2246,0
3/24/2021,2576,35,2265,1
3/25/2021,2579,35,2265,3
3/26/2021,2586,35,2265,7
3/27/2021,2586,35,2308,0
3/28/2021,2591,35,2308,5
3/29/2021,2594,35,2308,3
3/30/2021,2594,35,2359,0
3/31/2021,2603,35,2359,9
4/1/2021,2617,35,2359,14
4/2/2021,2620,35,2383,3
4/3/2021,2626,35,2383,6
4/4/2021,2631,35,2383,5
4/5/2021,2637,35,2416,6
4/6/2021,2648,35,2422,11
4/7/2021,2659,35,2429,11
4/8/2021,2668,35,2429,9
4/9/2021,2683,35,2429,15
4/10/2021,2692,35,2429,9
4/11/2021,2693,35,2429,1
4/12/2021,2705,35,2445,12
4/13/2021,2714,35,2445,9
4/14/2021,2733,35,2445,19
4/15/2021,2758,35,2445,25
4/16/2021,2772,35,2445,14
4/17/2021,2781,35,2475,9
4/18/2021,2785,35,2475,3
4/19/2021,2791,35,2475,7
4/20/2021,2800,35,2490,9
4/21/2021,2812,35,2490,6
4/22/2021,2824,35,2490,10
4/23/2021,2830,35,2490,14
4/24/2021,2833,35,2490,3
4/25/2021,2843,35,2516,10
4/26/2021,2852,35,2516,9
4/27/2021,2857,35,2516,5
4/28/2021,2865,35,2516,8
4/29/2021,2910,35,2516,45
4/30/2021,2928,35,2516,18
5/1/2021,2942,35,2548,14
5/2/2021,2962,35,2549,20
5/3/2021,2985,35,2560,19
